action,file,status,error
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/CLEANUP_RECOMMENDATIONS.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/OPTIMIZATION_PLAN.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/STRATEGIC_OVERVIEW.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/unveil-codebase-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/unveil-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-architecture-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-developer-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-import-optimization-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-messaging-system-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-security-notes.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-troubleshooting-messaging.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/docs-HOST_DASHBOARD.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/docs-PHASE_6_COMPLETION_REPORT.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/plans-Phase-7-Final-Integration-Plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/docs-unveil-design-system.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-UIUX-ExecutionPlan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-brand.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-style-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-voice.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-documentation-changelog.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-production-environment-setup.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-storage-bucket-setup-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-refactor-roadmap.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-host-dashboard-refactor.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-messaging-project-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-navigation-enhancements.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-participant-consolidation-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-supabase-schema-remediation-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-ui-standardization.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-project-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-recovery-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-simplified-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/CLAUDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-MVP-ProjectPlan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/07-FUTURE/phase-6-observability-plan.md","SUCCESS",""
"DELETED","docs/archive/project-plans/improve-app-performance.md","SUCCESS",""
"DELETED","docs/archive/stale-docs/DEVELOPMENT_GUIDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-NAVIGATION_SYSTEM.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-mcp-schema-binding.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-mcp-supabase-setup.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-testing-infrastructure.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-SMS_SETUP_GUIDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-test-user-management.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-REFACTOR_PLAN.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-phone-first-auth-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-schema-simplification-audit.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/docs-rules.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-ideas-log.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-quick-reference.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-risk-matrix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-schema.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-integrity.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-visibility.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/changes/db-health-summary.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-timezone-utc-bug-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-timezone-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-variable-order-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-date-grouping-restoration.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-exploratory-audit.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-implementation-complete.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-standardization-implementation-plan.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-sms-first-class-field-audit.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/guest-invite-sms-audit-2025-01-30.md","SUCCESS",""
